,date,count,time_stamp,type
441,2012-09-22,2.0,1348243200.0,c9
442,2012-09-23,7.0,1348329600.0,c9
443,2012-09-24,8.0,1348416000.0,c9
444,2012-09-25,11.0,1348502400.0,c9
445,2012-09-26,7.0,1348588800.0,c9
446,2012-09-27,9.0,1348675200.0,c9
447,2012-09-28,4.0,1348761600.0,c9
448,2012-10-08,1.0,1349625600.0,c9
449,2012-10-09,11.0,1349712000.0,c9
450,2012-10-10,17.0,1349798400.0,c9
451,2012-10-11,17.0,1349884800.0,c9
452,2012-10-12,15.0,1349971200.0,c9
453,2012-10-13,13.0,1350057600.0,c9
454,2012-10-14,7.0,1350144000.0,c9
455,2012-10-15,15.0,1350230400.0,c9
456,2012-10-16,22.0,1350316800.0,c9
457,2012-10-17,16.0,1350403200.0,c9
458,2012-10-18,16.0,1350489600.0,c9
459,2012-10-19,17.0,1350576000.0,c9
460,2012-10-20,12.0,1350662400.0,c9
461,2012-10-21,1.0,1350748800.0,c9
462,2012-10-22,15.0,1350835200.0,c9
463,2012-10-23,14.0,1350921600.0,c9
464,2012-10-24,19.0,1351008000.0,c9
465,2012-10-25,10.0,1351094400.0,c9
466,2012-10-26,14.0,1351180800.0,c9
467,2012-10-27,13.0,1351267200.0,c9
468,2012-10-28,4.0,1351353600.0,c9
469,2012-10-29,13.0,1351440000.0,c9
470,2012-10-30,12.0,1351526400.0,c9
471,2012-10-31,12.0,1351612800.0,c9
472,2012-11-01,7.0,1351699200.0,c9
473,2012-11-02,7.0,1351785600.0,c9
474,2012-11-03,8.0,1351872000.0,c9
475,2012-11-04,3.0,1351958400.0,c9
476,2012-11-05,10.0,1352044800.0,c9
477,2012-11-06,15.0,1352131200.0,c9
478,2012-11-07,10.0,1352217600.0,c9
479,2012-11-08,11.0,1352304000.0,c9
480,2012-11-09,10.0,1352390400.0,c9
481,2012-11-10,8.0,1352476800.0,c9
482,2012-11-11,1.0,1352563200.0,c9
483,2012-11-12,10.0,1352649600.0,c9
484,2012-11-13,11.0,1352736000.0,c9
485,2012-11-14,12.0,1352822400.0,c9
486,2012-11-15,3.0,1352908800.0,c9
487,2012-11-16,3.0,1352995200.0,c9
488,2012-11-17,2.0,1353081600.0,c9
489,2012-11-19,6.0,1353254400.0,c9
490,2012-11-20,1.0,1353340800.0,c9
491,2012-11-21,1.0,1353427200.0,c9
492,2012-11-23,4.0,1353600000.0,c9
493,2012-11-26,8.0,1353859200.0,c9
494,2012-11-27,8.0,1353945600.0,c9
495,2012-11-28,6.0,1354032000.0,c9
496,2012-11-29,7.0,1354118400.0,c9
497,2012-11-30,2.0,1354204800.0,c9
498,2012-12-03,4.0,1354464000.0,c9
499,2012-12-04,4.0,1354550400.0,c9
500,2012-12-05,2.0,1354636800.0,c9
501,2012-12-06,3.0,1354723200.0,c9
502,2012-12-07,4.0,1354809600.0,c9
503,2012-12-10,2.0,1355068800.0,c9
504,2012-12-11,1.0,1355155200.0,c9
505,2012-12-12,1.0,1355241600.0,c9
506,2012-12-13,2.0,1355328000.0,c9
507,2012-12-14,3.0,1355414400.0,c9
508,2012-12-16,1.0,1355587200.0,c9
509,2012-12-17,3.0,1355673600.0,c9
510,2012-12-18,2.0,1355760000.0,c9
511,2012-12-19,1.0,1355846400.0,c9
512,2012-12-20,35.0,1355932800.0,c9
513,2012-12-21,3.0,1356019200.0,c9
514,2012-12-24,1.0,1356278400.0,c9
515,2012-12-27,2.0,1356537600.0,c9
516,2012-12-28,1.0,1356624000.0,c9
517,2013-01-08,1.0,1357574400.0,c9
518,2013-01-11,1.0,1357833600.0,c9
519,2013-03-01,1.0,1362067200.0,c9
520,2013-03-04,2.0,1362326400.0,c9
521,2013-03-05,4.0,1362412800.0,c9
522,2013-03-06,1.0,1362499200.0,c9
523,2013-03-07,2.0,1362585600.0,c9
524,2013-03-08,4.0,1362672000.0,c9
525,2013-03-09,1.0,1362758400.0,c9
526,2013-03-11,5.0,1362931200.0,c9
527,2013-03-12,5.0,1363017600.0,c9
528,2013-03-13,2.0,1363104000.0,c9
529,2013-03-14,1.0,1363190400.0,c9
530,2013-03-15,1.0,1363276800.0,c9
531,2013-03-18,3.0,1363536000.0,c9
532,2013-03-19,1.0,1363622400.0,c9
533,2013-03-21,4.0,1363795200.0,c9
534,2013-03-22,146.0,1363881600.0,c9
535,2013-03-25,2.0,1364140800.0,c9
536,2013-03-26,3.0,1364227200.0,c9
537,2013-03-27,4.0,1364313600.0,c9
538,2013-03-28,4.0,1364400000.0,c9
539,2013-03-29,5.0,1364486400.0,c9
540,2013-04-01,4.0,1364745600.0,c9
541,2013-04-02,1.0,1364832000.0,c9
542,2013-04-07,1.0,1365264000.0,c9
543,2013-04-08,5.0,1365350400.0,c9
544,2013-04-09,2.0,1365436800.0,c9
545,2013-04-10,5.0,1365523200.0,c9
546,2013-04-11,2.0,1365609600.0,c9
547,2013-04-12,1.0,1365696000.0,c9
548,2013-04-15,4.0,1365955200.0,c9
549,2013-04-16,3.0,1366041600.0,c9
550,2013-04-17,4.0,1366128000.0,c9
551,2013-04-18,1.0,1366214400.0,c9
552,2013-04-21,1.0,1366473600.0,c9
553,2013-04-25,5.0,1366819200.0,c9
554,2013-04-26,3.0,1366905600.0,c9
555,2013-05-06,2.0,1367769600.0,c9
556,2013-05-07,2.0,1367856000.0,c9
557,2013-05-08,1.0,1367942400.0,c9
558,2013-05-09,3.0,1368028800.0,c9
559,2013-05-15,2.0,1368547200.0,c9
560,2013-05-16,1.0,1368633600.0,c9
561,2013-05-17,1.0,1368720000.0,c9
562,2013-05-21,1.0,1369065600.0,c9
563,2013-05-23,1.0,1369238400.0,c9
564,2013-05-24,2.0,1369324800.0,c9
565,2013-05-27,2.0,1369584000.0,c9
566,2013-05-29,2.0,1369756800.0,c9
567,2013-05-31,1.0,1369929600.0,c9
568,2013-06-01,1.0,1370016000.0,c9
569,2013-06-03,1.0,1370188800.0,c9
570,2013-06-20,1.0,1371657600.0,c9
571,2013-07-10,1.0,1373385600.0,c9
572,2013-07-18,1.0,1374076800.0,c9
573,2013-09-11,2.0,1378828800.0,c9
574,2013-09-12,5.0,1378915200.0,c9
575,2013-09-13,3.0,1379001600.0,c9
576,2013-09-14,4.0,1379088000.0,c9
577,2013-09-15,3.0,1379174400.0,c9
578,2013-09-16,7.0,1379260800.0,c9
579,2013-09-17,10.0,1379347200.0,c9
580,2013-09-18,3.0,1379433600.0,c9
581,2013-09-22,7.0,1379779200.0,c9
582,2013-09-23,15.0,1379865600.0,c9
583,2013-09-24,16.0,1379952000.0,c9
584,2013-09-25,12.0,1380038400.0,c9
585,2013-09-26,17.0,1380124800.0,c9
586,2013-09-27,13.0,1380211200.0,c9
587,2013-09-28,5.0,1380297600.0,c9
588,2013-09-29,1.0,1380384000.0,c9
589,2013-09-30,2.0,1380470400.0,c9
590,2013-10-08,11.0,1381161600.0,c9
591,2013-10-09,16.0,1381248000.0,c9
592,2013-10-10,22.0,1381334400.0,c9
593,2013-10-11,20.0,1381420800.0,c9
594,2013-10-12,19.0,1381507200.0,c9
595,2013-10-13,11.0,1381593600.0,c9
596,2013-10-14,23.0,1381680000.0,c9
597,2013-10-15,28.0,1381766400.0,c9
598,2013-10-16,15.0,1381852800.0,c9
599,2013-10-17,15.0,1381939200.0,c9
600,2013-10-18,18.0,1382025600.0,c9
601,2013-10-19,17.0,1382112000.0,c9
602,2013-10-20,4.0,1382198400.0,c9
603,2013-10-21,23.0,1382284800.0,c9
604,2013-10-22,25.0,1382371200.0,c9
605,2013-10-23,19.0,1382457600.0,c9
